Material_Flag,V1 (m/s),b (mm),d12 (mm),d23 (mm),h1 (mm),h2 (mm),h3 (mm),beta1 (deg),Vc12 (m/s),Vc23 (m/s),T_Interface1 (K),T_Interface2 (K),Clearance_OK,Weldable
0,600.0,9.0,3.0,0.5,1.5,1.15,1.15,18.434948822922014,936.433384775837,285.64947569284146,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,0.5,1.5,1.15,1.5,18.434948822922014,936.433384775837,285.64947569284146,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,0.5,1.5,1.5,0.8,18.434948822922014,936.433384775837,276.26627149412826,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,0.5,1.5,1.5,1.15,18.434948822922014,936.433384775837,276.26627149412826,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,0.5,1.5,1.5,1.5,18.434948822922014,936.433384775837,276.26627149412826,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,1.3333333333333335,0.8,0.8,0.8,18.434948822922014,936.433384775837,151.7126461649882,1000000000.0,0.7552203889397197,0,0
0,600.0,9.0,3.0,1.3333333333333335,0.8,0.8,1.15,18.434948822922014,936.433384775837,151.7126461649882,1000000000.0,0.7552203889397197,0,0
0,600.0,9.0,3.0,1.3333333333333335,0.8,0.8,1.5,18.434948822922014,936.433384775837,151.7126461649882,1000000000.0,0.7552203889397197,0,0
0,600.0,9.0,3.0,1.3333333333333335,0.8,1.15,0.8,18.434948822922014,936.433384775837,194.56030079482042,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,1.3333333333333335,0.8,1.15,1.15,18.434948822922014,936.433384775837,194.56030079482042,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,1.3333333333333335,0.8,1.15,1.5,18.434948822922014,936.433384775837,194.56030079482042,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,1.3333333333333335,0.8,1.5,0.8,18.434948822922014,936.433384775837,206.55504405056965,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,1.3333333333333335,0.8,1.5,1.15,18.434948822922014,936.433384775837,206.55504405056965,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,1.3333333333333335,0.8,1.5,1.5,18.434948822922014,936.433384775837,206.55504405056965,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,1.3333333333333335,1.15,0.8,0.8,18.434948822922014,936.433384775837,151.7126461649882,1000000000.0,0.7552203889397197,0,0
0,600.0,9.0,3.0,1.3333333333333335,1.15,0.8,1.15,18.434948822922014,936.433384775837,151.7126461649882,1000000000.0,0.7552203889397197,0,0
0,600.0,9.0,3.0,1.3333333333333335,1.15,0.8,1.5,18.434948822922014,936.433384775837,151.7126461649882,1000000000.0,0.7552203889397197,0,0
0,600.0,9.0,3.0,1.3333333333333335,1.15,1.15,0.8,18.434948822922014,936.433384775837,194.56030079482042,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,1.3333333333333335,1.15,1.15,1.15,18.434948822922014,936.433384775837,194.56030079482042,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,1.3333333333333335,1.15,1.15,1.5,18.434948822922014,936.433384775837,194.56030079482042,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,1.3333333333333335,1.15,1.5,0.8,18.434948822922014,936.433384775837,206.55504405056965,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,1.3333333333333335,1.15,1.5,1.15,18.434948822922014,936.433384775837,206.55504405056965,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,1.3333333333333335,1.15,1.5,1.5,18.434948822922014,936.433384775837,206.55504405056965,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,1.3333333333333335,1.5,0.8,0.8,18.434948822922014,936.433384775837,151.7126461649882,1000000000.0,0.7552203889397197,0,0
0,600.0,9.0,3.0,1.3333333333333335,1.5,0.8,1.15,18.434948822922014,936.433384775837,151.7126461649882,1000000000.0,0.7552203889397197,0,0
0,600.0,9.0,3.0,1.3333333333333335,1.5,0.8,1.5,18.434948822922014,936.433384775837,151.7126461649882,1000000000.0,0.7552203889397197,0,0
0,600.0,9.0,3.0,1.3333333333333335,1.5,1.15,0.8,18.434948822922014,936.433384775837,194.56030079482042,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,1.3333333333333335,1.5,1.15,1.15,18.434948822922014,936.433384775837,194.56030079482042,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,1.3333333333333335,1.5,1.15,1.5,18.434948822922014,936.433384775837,194.56030079482042,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,1.3333333333333335,1.5,1.5,0.8,18.434948822922014,936.433384775837,206.55504405056965,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,1.3333333333333335,1.5,1.5,1.15,18.434948822922014,936.433384775837,206.55504405056965,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,1.3333333333333335,1.5,1.5,1.5,18.434948822922014,936.433384775837,206.55504405056965,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,2.1666666666666665,0.8,0.8,0.8,18.434948822922014,936.433384775837,0.0,1000000000.0,0.0,0,0
0,600.0,9.0,3.0,2.1666666666666665,0.8,0.8,1.15,18.434948822922014,936.433384775837,0.0,1000000000.0,0.0,0,0
0,600.0,9.0,3.0,2.1666666666666665,0.8,0.8,1.5,18.434948822922014,936.433384775837,0.0,1000000000.0,0.0,0,0
0,600.0,9.0,3.0,2.1666666666666665,0.8,1.15,0.8,18.434948822922014,936.433384775837,103.67062757808085,1000000000.0,0.39855742481744433,0,0
